Month,Day,Low,High,NormalLow,NormalHigh,RecordLow,LowYr,RecordHigh,HiYear,Precip,RecordPrecip,PrecipYr,date,Record,RecordText,RecordP,CulmPrec,dateInYear,month_name
4,3,46,63,47,63,39,1956,79,1961,0,0.76,1958,2011-04-03,FALSE,NA,FALSE,0,93,Apr
11,7,46,60,50,65,41,1948,81,1955,0,1.27,2002,2011-11-07,FALSE,NA,FALSE,0.46,311,Nov
7,21,54,74,55,71,49,1954,83,2006,0,0.09,1979,2011-07-21,FALSE,NA,FALSE,0,202,Jul
9,19,57,88,56,74,46,1954,93,2000,0,0.46,1977,2011-09-19,FALSE,NA,FALSE,0,262,Sep
9,30,61,72,55,73,41,1950,94,2001,0,0.56,1983,2011-09-30,FALSE,NA,FALSE,0.01,273,Sep
6,13,53,65,53,70,48,1968,95,1966,0,0.01,2009,2011-06-13,FALSE,NA,FALSE,0.97,164,Jun
6,17,51,71,53,70,44,1954,95,1993,0,0,NA,2011-06-17,FALSE,NA,FALSE,0.97,168,Jun
10,18,56,66,53,70,42,1946,85,1988,0,0.17,1953,2011-10-18,FALSE,NA,FALSE,1.1800000000000002,291,Oct
7,2,53,70,54,71,47,1954,97,1970,0,0.35,1977,2011-07-02,FALSE,NA,FALSE,0,183,Jul
11,9,43,62,50,65,40,1975,78,1956,0,1.29,1949,2011-11-09,FALSE,NA,FALSE,0.46,313,Nov
9,11,61,73,56,74,49,1951,98,1979,0,0.02,1976,2011-09-11,FALSE,NA,FALSE,0,254,Sep
4,23,49,62,49,65,41,1960,85,1959,0.01,0.6,1983,2011-04-23,FALSE,NA,FALSE,0.28,113,Apr
12,2,54,71,46,59,37,1967,75,1958,0,1.85,2001,2011-12-02,FALSE,NA,FALSE,0,336,Dec
3,14,54,60,47,61,36,1954,79,1947,0.13,1.52,1952,2011-03-14,FALSE,NA,FALSE,0.98,73,Mar
1,27,44,62,45,57,31,1949,68,1984,0,1.65,1981,2011-01-27,FALSE,NA,FALSE,0.6299999999999999,27,Jan
7,18,56,75,55,71,50,1999,88,1968,0,0.01,2007,2011-07-18,FALSE,NA,FALSE,0,199,Jul
8,3,52,74,56,72,45,1954,91,1998,0,0.01,1953,2011-08-03,FALSE,NA,FALSE,0,215,Aug
2,7,48,66,45,59,32,1989,73,1987,0,1.24,1978,2011-02-07,FALSE,NA,FALSE,0,38,Feb
3,3,50,61,46,60,31,1966,80,1959,0,0.89,2010,2011-03-03,FALSE,NA,FALSE,0.13,62,Mar
5,14,47,58,50,66,41,1968,87,2006,0.11,0.33,1995,2011-05-14,FALSE,NA,FALSE,0.11,134,May
5,12,50,63,50,66,42,1953,96,1976,0,0.4,1998,2011-05-12,FALSE,NA,FALSE,0,132,May
2,4,42,65,45,58,32,1955,71,2001,0,1.3,1991,2011-02-04,FALSE,NA,FALSE,0,35,Feb
5,5,52,78,50,66,41,1965,91,1987,0,0.24,1983,2011-05-05,FALSE,NA,FALSE,0,125,May
8,24,56,71,56,73,49,1955,99,2010,0,0,NA,2011-08-24,FALSE,NA,FALSE,0,236,Aug
9,22,54,75,56,74,48,1981,91,1946,0,0.2,1990,2011-09-22,FALSE,NA,FALSE,0,265,Sep
11,28,47,57,47,60,32,1952,70,1995,0,1.76,1970,2011-11-28,FALSE,NA,FALSE,1.5499999999999998,332,Nov
3,12,45,61,47,61,35,1954,77,2007,0,1.46,1971,2011-03-12,FALSE,NA,FALSE,0.66,71,Mar
